Location,Month,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
Schenectady,January,0.75,0.00,0.01,0.00,0.25,0.11,0.00,0.01,0.51,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.05,0.01,,0.17,0.00,0.00,0.41,0.86,0.00,0.00,0.01,0.00,0.36,0.04
Schenectady,February,0.00,0.00,0.00,0.00,0.04,0.00,0.58,0.48,0.00,0.00,0.00,0.00,1.10,0.05,0.00,0.00,0.00,0.20,0.06,0.00,0.22,0.00,0.00,0.18,0.06,0.00,0.00,0.33,,,
Schenectady,March,0.00,0.00,0.00,0.24,0.00,0.00,0.01,0.00,0.00,0.21,0.02,0.00,0.00,0.00,0.06,0.00,0.01,0.00,0.00,0.00,0.00,0.38,0.06,0.00,0.00,0.00,0.00,0.00,0.03,0.10,0.04
Schenectady,April,0.08,0.00,0.00,0.00,0.00,0.29,0.00,0.10,0.04,0.51,0.00,0.00,0.05,0.00,1.80,0.02,0.00,0.04,0.02,0.21,0.53,0.00,0.00,0.23,0.00,0.23,0.83,0.02,0.02,0.06,
Schenectady,May,0.04,0.12,0.08,0.29,0.07,0.25,0.01,0.05,0.00,0.12,0.13,0.21,0.23,0.77,0.16,0.01,0.08,0.05,0.09,0.19,0.04,0.00,0.00,0.44,0.01,0.10,0.00,0.01,0.44,0.01,0.03
Schenectady,June,0.01,0.00,0.09,0.00,0.04,0.56,0.11,0.00,0.00,0.00,1.63,0.01,0.00,0.11,,,0.63,0.01,0.09,0.07,0.57,0.01,0.00,0.00,0.15,0.00,0.06,0.00,0.02,,
Schenectady,July,0.14,0.00,0.00,0.00,0.00,0.00,0.31,0.00,0.00,0.00,0.00,0.05,0.00,0.00,0.00,0.00,0.23,0.78,0.02,,,,1.91,0.01,0.00,0.00,0.00,0.00,0.10,0.37,0.60
Schenectady,August,0.00,0.00,0.02,0.00,0.01,0.00,0.05,0.08,0.04,0.56,0.00,0.20,0.10,0.14,0.00,,0.17,0.68,1.31,0.00,0.95,0.34,0.00,0.00,0.00,0.00,0.00,0.00,0.11,0.00,0.00
Schenectady,September,0.00,0.21,0.18,0.00,0.39,0.00,0.00,0.00,0.00,0.00,0.00,0.02,0.01,0.00,0.02,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.25,0.00,0.00,0.17,0.00,0.04,0.00,
Schenectady,October,0.55,0.33,0.30,0.34,0.00,0.00,0.15,0.78,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.72,0.16,0.00,0.00,0.04,0.00,0.55,0.00,0.00,0.02,0.20,0.81,0.00,0.00,0.20
Schenectady,November,0.66,0.00,0.00,0.00,0.00,0.00,0.00,0.22,0.00,0.00,0.01,0.16,0.00,0.00,0.00,0.00,0.00,0.00,1.06,0.02,0.05,0.04,0.04,0.45,0.32,0.00,0.00,0.15,0.00,0.00,
Schenectady,December,0.00,1.21,0.50,0.02,0.00,0.00,0.15,0.00,0.00,0.19,0.01,0.00,0.00,0.40,0.07,0.00,0.10,0.16,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.01,0.00,1.02,0.55
